token_id,Background,Body,Clothes,Eyes,Head,Mouth
1,Clouds,Yellow,Crossbody Bag Yellow,Neutral,Sprout,Smile
100,Rain,Mint,Button Up Blue,Angry,Bunny Gold,Fangs
10000,Mint,Green,Jacket Black,Tired,Acorn,Smile
1002,Purple,Orange,Graphic Tee Cloud,Glasses,Frog,Uhh
1004,Letters,Yellow,Crossbody Bag Yellow,Neutral,Egg,Frown
1006,Garden,Orange,Polka Dot Shirt Blue,Neutral,Bucket Hat Blue,Squiggle
1008,Pink,Mint,Jacket Tan,Squint,Bow Blue,Neutral
101,Pink,Green,Jacket Black,Tired,Bow Red,Happy
1011,Gradient Orange,Purple,Lion Costume,Neutral,Lion,Smile
1013,Pink,Yellow,Dog Costume B&W,Happy,Dog B&W,Smile
1015,Purple,Orange,Open Button Shirt Tan,Sleepy,Frog Gold,Happy
1017,Pink,Yellow,Puffer Jacket White,Sparkle,Bunny Pink,Surprised
1019,Gradient Blue,Yellow,Sweater Red,Squint,Apple,Frown
1020,Green,Orange,Graphic Tee Cloud,Sunglasses,Little Hat Purple Bow,Uhh
1022,Green,Mint,Hoodie Yellow,Round Sunglasses,Wizard Hat,Frown
1024,Pink,Orange,Jersey Yellow,Squint,Little Peach,Frown
1026,Blue,Green,Graphic Tee Cloud,XX,Little Lemon,Smile
1028,Blue,Orange,Bathrobe Blue,Half Glasses,Acorn,Frown
103,Mint,Green,Graphic Tee Letters,Half Glasses,Flower Pink,Smile
1031,Green,Orange,Button Up Blue,Round Sunglasses,Egg,Smile
1033,Mint,Yellow,Tracksuit Red,Neutral,Frog,Squiggle
1035,Green,Yellow,Open Button Shirt Green,Double,Cat Grey,Uhh
1037,Blue,Green,Graphic Tee Cloud,Neutral,Cap Yellow,Uhh
1039,Yellow,Yellow,Open Button Shirt Tan,Sunglasses,Bunny Pink,Frown
1040,Yellow,Orange,Scallop Sweater Tan,Heart Glasses,Leaf,Happy
