token_id,backfx,background,cat,fx,item,neck
0,4,21,orangewhite,1,Clyde,bell4
10,N/A,12,graywhite,N/A,Bitcoin,N/A
1000,N/A,19,green,N/A,bone,bow tie7
1002,6,21,blue,1,blue,N/A
1004,special2,7,red,3,Dino,N/A
1006,N/A,9,red,N/A,Fire,bell2
1008,N/A,2,blackwhite2,5,laser,bow tie6
101,N/A,11,red,N/A,laser,N/A
1011,1,10,lightblue,3,Portal,N/A
1013,6,16,blue,N/A,Clyde,bell10
1015,N/A,12,blackwhite2,3,Apple,bow tie1
1017,2,14,graywhite,N/A,Dino,N/A
1019,special3,12,Pink,3,Inky,N/A
1020,N/A,2,brownwhite,N/A,Flerken,bow tie4
1022,special3,17,orangewhite,N/A,Pinky,N/A
1024,N/A,18,black,3,laser,N/A
1026,7,12,green,N/A,Blinky,N/A
1028,N/A,16,blackwhite2,1,blue,N/A
103,N/A,2,purple,N/A,Tetris,N/A
1031,N/A,11,blue,N/A,5011ETH,bow tie6
1033,8,18,black,N/A,Rainbow,N/A
1035,4,6,orange,N/A,laser,bell5
1037,N/A,5,orange,3,Cursor,bell2
1039,N/A,3,halforange,5,Apple,bow tie3
1040,special2,6,blackwhite2,3,Heart,N/A
