token_id,background,body,face,hair,head,piercing
0,green,blue and yellow jacket,mustache,purple long,tan,N/A
10,pink,leopard hoodie,chill cig,green mullet,green,pearl
1000,orange,orange puffer,in love,white bucket cap,med,N/A
1002,orange,purple sweater with satchel,aviators with cig,blue afro,yellow,N/A
1004,fire,yellow backpack,cobain glasses,green mullet,pale,airpod
1006,blue,yellow turtleneck,straw,white bucket cap,green,N/A
1008,gradient 2,blue turtleneck,surprised,brown brushcut,pink,airpod
101,iridescent,purple chain,aviators with mustache,yellow bowlcut,blue,N/A
1011,gradient 4,pink hoodie,chill cig,beige bucket cap,pale,hoop
1013,yellow,white puffer,surprised,helmet,yellow,N/A
1015,green,pink and green jacket,surprised,blue alfalfa,orange,N/A
1017,light blue,combo 3 puffer,in love,green bowlcut,gradient 2,N/A
1019,pink,leopard hoodie,aviators with mustache,poopie,green,N/A
1020,blue,blue fleece,chill cig,purple puffballs,pink,N/A
1022,purple,navy sweater,mustache,blue alfalfa,med,N/A
1024,blue,grey hoodie,sad note,yellow bowlcut,med,N/A
1026,purple,yellow turtleneck,mustache,beige bucket cap,pale,N/A
1028,green,light blue puffer,designer glasses,pink tidy,purple,hoop
103,blue,white collar,sad note,pink long,orange,N/A
1031,orange,grey hoodie,grumpy,green brushcut,blue,pearl
1033,grey,blue turtleneck,straw,yellow bowlcut,green,N/A
1035,grey,N/A,in love,N/A,balloon,N/A
1037,light blue,striped sweater,happy,green puffballs,green,N/A
1039,blue,white turtleneck,chill cig,pink,pink,N/A
1040,gradient 4,yellow turtleneck,grumpy,green brushcut,purple,hoop
