token_id,Background,Clothing,Ear,Eyes,Face,Hair,Headgear,Mouth,Neck,Offhand,Special,Type
0,Off White A,Pink Oversized Kimono,N/A,Striking,N/A,Water,N/A,Frown,N/A,Monkey King Staff,N/A,Human
10,Off White C,Blue Kimono,N/A,Closed,N/A,Green Samurai,Black Bucket Hat,Chuckle,N/A,Sakura Katana,N/A,Human
1001,Off White A,Hoshi Jacket,N/A,Careless,N/A,Black Fluffy,N/A,Chuckle,N/A,N/A,N/A,Human
1003,Off White D,Alpine Jacket,N/A,Relaxed,N/A,Silver Bangs,N/A,Relaxed,N/A,Shinai,N/A,Human
1005,Off White D,Denim Jacket,N/A,Suspicious,N/A,Gray Samurai,N/A,Face Mask,N/A,Banner,N/A,Human
1007,Off White D,Hawaiian Shirt,N/A,Ruby,Clear Glasses,Brown Bangs,N/A,Closed,N/A,Hand Seal,N/A,Human
1009,Off White B,Turquoise Kimono with Bow,N/A,Closed,Sleep Mask,Orange Pixie,N/A,Relaxed,Tribal Tattoo,Shinai,N/A,Human
1010,Cool Gray,Vegan Mink Coat,N/A,Tired,N/A,Teal Long,N/A,Growl,N/A,Zanbato,N/A,Human
1012,Off White B,Vest,N/A,Suspicious,N/A,Green Samurai,N/A,Relaxed,N/A,N/A,N/A,Human
1014,Red,White T-Shirt,N/A,Bored,N/A,Brown Messy,N/A,Relaxed,N/A,Lightning Orb,N/A,Human
1016,Off White D,Vest,N/A,Closed,N/A,Silver Hairband,N/A,Sleep Bubble,N/A,N/A,N/A,Blue
1018,Off White C,Azuki Tech Jacket,N/A,Ruby,N/A,Maroon Bob,Cat Baseball Cap,Frown,N/A,Sakura Katana,N/A,Human
102,Off White B,Light Kimono,N/A,Focused,N/A,Powder Blue Disheveled,Cat Headband,Growl,N/A,Coin,N/A,Human
1021,Off White B,Archer,N/A,Relaxed,N/A,Brown Ponytail,N/A,Chewing,N/A,Shinai,N/A,Human
1023,Dark Blue,Shinto Robe,N/A,Closed,Eye Scar,Green Fluffy,N/A,Chuckle,N/A,N/A,N/A,Human
1025,Off White D,Kung Fu Shirt,N/A,Bored,N/A,Green Samurai,N/A,Face Mask,N/A,Coin,N/A,Human
1027,Off White D,Dress Shirt,N/A,Red,Red Fang Face Paint,Silver Disheveled,Cowboy Hat,Not Bad,N/A,N/A,N/A,Red
1029,Cool Gray,White Hoodie,N/A,Daydreaming,Eye Scar,Magenta Pigtails,N/A,Lipstick,N/A,N/A,Fireflies,Human
1030,Red,Kung Fu Shirt,Chill,Tired,N/A,Maroon Short Spiky,N/A,Smirk,Zen Headphones,Floorsweeper,N/A,Human
1032,Off White D,Bloody Bomber,N/A,Hopeful,Kabuki Facepaint,Blonde Hairband,Cat Headband,Grin,N/A,Fan,N/A,Human
1034,Off White B,Red Floral Kimono,N/A,Daydreaming,N/A,Maroon Bob,Pointy Straw Hat,Smirk,N/A,Earth,N/A,Red
1036,Dark Purple,Azuki Tech Jacket,N/A,Bored,N/A,Indigo Swept Back,N/A,Meh,N/A,Katana,N/A,Human
1038,Off White B,Red Floral Kimono,N/A,Concerned,N/A,Teal Bangs,Purple Kanzashi,Grass,N/A,Banner,N/A,Human
104,Off White A,Fur Hoodie,N/A,Focused,N/A,Indigo Swept Back,Full Bandana,Closed,N/A,Umbrella,N/A,Human
1041,Off White B,Black Hoodie,N/A,Daydreaming,N/A,Silver Ponytail,N/A,Chewing,N/A,Bat,N/A,Human
