token_id,???,Biome,Chroma,Level,Mode,X Coordinate,Y Coordinate,Zone
1,52453,32,Pulse,13,Origin Daydream,9,5,Hypermage
100,48522,53,Flow,14,Origin Daydream,43,27,Exduo
1001,35663,90,Hyper,18,Terrain,4,1,Alto
1003,46674,78,Flow,17,Terrain,10,3,Alto
1005,50616,51,Flow,11,Terrain,23,3,[WEN]
1007,42616,63,Pulse,10,Terrain,29,2,[CUR2]
1009,10467,24,Flow,11,Terrain,23,15,[MENU]
1010,34470,33,Flow,10,Terrain,9,17,[HYCA]
1012,40424,71,Flow,14,Terrain,35,40,Holo
1014,32719,52,Flow,10,Terrain,31,3,[CUR2]
1016,40852,64,Pulse,11,Terrain,24,30,[DARK]
1018,47759,70,Flow,11,Terrain,30,31,[BOSS]
102,31581,36,Flow,15,Origin Daydream,14,8,Antenna
1021,51070,49,Pulse,10,Terrain,16,14,[MOON]
1023,35466,63,Hyper,17,Terrain,7,14,Alto
1025,49664,72,Flow,11,Terrain,20,28,[WEN]
1027,42347,67,Flow,16,Terrain,8,9,Treasure
1029,51660,75,Flow,14,Terrain,0,29,Warp
1030,48487,54,Flow,13,Terrain,2,27,Arc
1032,51493,72,Pulse,13,Terrain,32,28,Arc
1034,32018,43,Flow,14,Terrain,11,22,Mirage
1036,45169,0,Flow,10,Terrain,11,17,[NEON]
1038,30321,57,Flow,14,Terrain,19,31,Riso
104,25453,43,Flow,16,Origin Daydream,22,0,Blossom
1041,53365,52,Pulse,4,Terrain,6,9,Kairo
