token_id,Acc,Background,Base,Cap,Pants,Shoes,Sunglasses,Tee
1,N/A,background_30,base_01,cap_08,pants_01,shoes_12,snglasses_20,hoodie_03
100,N/A,background_01,base_07,cap_15,pants_01,shoes_15,snglasses_07,jacket_04
1001,none,background_73,base_08,cap_21,pants_18,shoes_06,glasses_02,tie_117
1004,none,background_66,base_08,cap_40,pants_03,shoes_29,snglasses_17,hoodie_14
1013,none,background_09,base_05,cap_36,pants_03,shoes_19,snglasses_24,hoodie_12
1018,none,background_01,base_02,cap_12,pants_19,shoes_16,none,shirts_12
1025,none,background_07,base_07,none,pants_08,shoes_07,glasses_05,hoodie_08
103,N/A,background_44,base_01,cap_17,pants_02,shoes_14,snglasses_24,long_15
1032,none,background_34,base_06,cap_12,pants_11,shoes_09,snglasses_37,padding_15
1034,none,background_09,base_07,cap_35,pants_14,shoes_16,glasses_04,long_15
1036,none,background_27,base_03,cap_40,pants_20,shoes_11,glasses_13,short_13
1038,none,background_04,base_01,cap_23,pants_07,shoes_05,glasses_10,padding_10
1041,none,background_14,base_02,cap_36,pants_02,shoes_05,none,varsity_05
1043,none,background_63,base_08,cap_05,pants_09,shoes_01,snglasses_33,shirts_03
1045,none,background_59,base_03,cap_32,pants_12,shoes_18,glasses_04,hoodie_02
1047,none,background_68,base_06,cap_24,pants_20,shoes_18,snglasses_37,hoodie_12
1049,none,background_92,base_03,cap_37,pants_21,shoes_10,glasses_04,varsity_06
1050,none,background_83,base_02,cap_12,pants_08,shoes_01,snglasses_42,hoodie_06
1052,none,background_46,base_06,cap_19,pants_13,shoes_28,glasses_15,padding_07
1055,none,background_54,base_05,cap_26,pants_22,shoes_08,snglasses_03,hoodie_09
1059,none,background_86,base_01,cap_26,pants_06,shoes_06,snglasses_36,hoodie_01
1060,none,background_58,base_07,none,pants_08,shoes_08,glasses_08,short_27
1063,none,background_65,base_07,cap_35,pants_12,shoes_06,glasses_03,varsity_12
1067,none,background_74,base_03,cap_06,pants_14,shoes_07,snglasses_43,hoodie_14
1069,none,background_56,base_03,cap_02,none,shoes_19,snglasses_36,tie_162
