token_id,Clothes,Eyes,Glasses,Head Piece,Mouth,Props
111,Dev Suit - Green,Microsoft Word,Vacation Lenses,Motel 6 ,Iceman,No Props
1168,Chief Executive ,Blue,No Glasses,Greased Back,Iceman,No Props
1171,Yoked,Snake Eyes,Dev Bans,The Dev Classic,That Sweet Wheat,No Props
125,Dev Suit - Black,Akihabara,No Glasses,The Dev Classic,Focused,No Props
1261,Late Night Fella,Lizard Person,No Glasses,The Dev Classic,Rollin' Stoner,No Props
1264,Absolute Sicko,Vengence,No Glasses,Hairline Maverick,Ballsy Smoker,No Props
1271,Dev Suit - Gray,Vengence,No Glasses,NSFW,Ballsy Smoker,Scotch Whiskey
1275,Midnight Man,Blue,No Glasses,Mickey Cap,Heavy Stoner,No Props
1282,Designer Exclusive,20/20 Vision,No Glasses,The Dev Classic,Ballsy Smoker,No Props
1284,Dev Suit - Orange,Mythril Leer,No Glasses,Einstein Spread,Ballsy Smoker,No Props
1290,Cream Harvey,Lizard Person,No Glasses,The Dev Classic,Triple Maduro,6 Shooter
1309,Woodsman,Vengence,No Glasses,Motel 6 ,Ciggies Inside,No Props
1314,White Collar,Akihabara,No Glasses,The Dev Classic,Ciggies Inside,No Props
1327,Black Watch Flannel,Blue,No Glasses,Motel 6 ,5 O'Clock Shadow,No Props
1347,Dev Suit - Gray,Microsoft Word,Dev Bans,The Dev Classic,Dive Bar Guru,No Props
1353,Woodsman,Microsoft Word,No Glasses,Hairline Maverick,Cig,No Props
1357,Midnight Man,Akihabara,Speeders,Monk's Cut,Iceman,No Props
1404,Dev Suit - Purple,Akihabara,No Glasses,Hairline Maverick,Cig,No Props
1411,White Collar,Microsoft Word,Smooth Operators,The Dev Classic,Triple Maduro,No Props
1420,Shark Skin Don,Microsoft Word,No Glasses,The Dev Classic,Trusted Source ,No Props
1433,Woodsman,Compiler Error,No Glasses,Hairline Maverick,4am Buzz,No Props
1456,Cream Harvey,Vengence,No Glasses,Monk's Cut,That Sweet Wheat,No Props
1479,Highway Child,20/20 Vision,No Glasses,Mickey Cap,Greater Antilles ,No Props
1493,Dev Suit - Maroon,Green,No Glasses,The Dev Classic,Ballsy Smoker,No Props
1498,Woodsman,20/20 Vision,No Glasses,Greased Back,Iceman,No Props
