token_id,Element,Head,Mutation,Shoes,Stage,Type,Weapon
0,N/A,Helmet,N/A,N/A,5,Russet,N/A
10,N/A,Shogun,N/A,N/A,5,Russet,Cold Wallet
1000,N/A,Sailor,N/A,N/A,5,Purple,N/A
1002,N/A,Golden Straw Hat,Blue Chip,N/A,5,Chip,N/A
1004,Yellow Force,N/A,Banana,N/A,5,Russet,Hammer
1006,Sound,Green Punk,N/A,N/A,5,Aqua,N/A
1008,Ticket,Gat,N/A,N/A,5,Lava,N/A
101,N/A,Buns,N/A,Basketball,5,Green,N/A
1011,Poop,Halo,N/A,N/A,5,Aqua,Spiked Club
1013,Sound,N/A,N/A,N/A,5,Pink,Cleaver
1015,Earth,White Headband,N/A,N/A,5,Hash Brown,N/A
1017,N/A,Skipper,N/A,N/A,5,Lava,Throwing Bat
1019,N/A,Beanie,N/A,N/A,5,Green,Beer
1020,N/A,Brown Topper,N/A,N/A,5,Pink,Shield
1022,N/A,N/A,N/A,N/A,5,Russet,Black Sword
1024,Potato,N/A,N/A,Socks & Sandals,5,Aqua,N/A
1026,N/A,Red Pirate,N/A,N/A,5,Russet,N/A
1028,Moon,Green Cap,N/A,N/A,5,Red,N/A
103,N/A,Skipper,N/A,N/A,5,Purple,Pipe
1031,N/A,Brown Pirate,N/A,N/A,5,Green,Folding Chair
1033,Thunder,Party,N/A,N/A,5,Pink,N/A
1035,Flower,Green Punk,N/A,N/A,5,Russet,Parrot
1037,N/A,Brain,N/A,Gym Socks,5,Green,Nunchaku
1039,N/A,Your Future,N/A,N/A,5,Pink,Golden Flip Flops
1040,Earth,Over 9000,N/A,N/A,5,Rotten,N/A
