token_id,Background,Core,Drip Grade,Drip Score,Earring,Eye Color,Eyes,Face Decoration,Glasses,Hair,Hat,Neck,Necklace,Number,Race,Shirt
0,tennis,prep,normal,25,N/A,lilac,teary,N/A,N/A,og orange,N/A,anime chest tattoo,N/A,0,clay,sweater and tie
10,sunset,lolita-hypebeast,normal,17,N/A,blue,crying,N/A,N/A,og black,maid hat,N/A,N/A,10,clay,red puffer
1000,sunset,gyaru,a-drip,35,N/A,blue,sleepy,tyson tribal tattoo,N/A,bowl blue,brown cowboy hat,N/A,N/A,1001,pale,super lover shirt
1002,xp,prep-harajuku,b-drip,32,N/A,brown,sleepy,N/A,N/A,short green,ivy cap,N/A,N/A,1002,pink,leopard vest
1004,sunset,gyaru,normal,20,N/A,brown,crying,N/A,N/A,og frosted blonde,N/A,N/A,N/A,1004,pale,super lover shirt
1006,streets,lolita-harajuku,b-drip,33,N/A,blue,classic,N/A,N/A,N/A,strawberry hat,N/A,N/A,1006,tan,sailor lolita
1008,bushland,prep-hypebeast,b-drip,30,flower earring,brown,dilated,N/A,N/A,short blue,plaid bonnet,N/A,N/A,1008,tan,red puffer
101,nagano,lolita-gyaru,b-drip,31,N/A,brown,dilated,nose ring silver,N/A,braid purple,trucker hat 911,N/A,N/A,101,clay,peter pan collar shirt
1011,train,hypebeast-gyaru,a-drip,37,N/A,blue,sparkle,N/A,N/A,tuft dark,white cowboy hat,castle neck tattoo,girl necklace,1011,pale,bowling shirt
1013,bushland,gyaru,normal,21,cross earring,brown,closed,N/A,N/A,bowl black,N/A,N/A,lean neck tattoo,1013,pale,mouse tank
1015,sonora,lolita,b-drip,32,N/A,green,crying,N/A,N/A,tuft purple,pink bow,N/A,N/A,1015,pale,peter pan collar shirt
1017,streets,hypebeast-gyaru,s-drip,41,N/A,green,crying,N/A,N/A,og orange,trucker oasis,N/A,N/A,1017,alien,bowling shirt oriental
1019,casino,lolita-gyaru,a-drip,35,chain earrings,brown,dilated,N/A,yy glasses,tuft brown,denim usa cap,N/A,N/A,1019,pink,fur coat
1020,casino,lolita-prep,a-drip,35,N/A,green,classic,N/A,N/A,tuft blue,earflap cap,lean neck tattoo,N/A,1020,pink,sailor lolita
1022,bushland,prep-gyaru,a-drip,36,N/A,green,dilated,tyson tribal tattoo,N/A,short orange,denim fish cap,N/A,N/A,1022,clay,sweater and tie
1024,sonora,prep-gyaru,b-drip,32,loop chain earring,brown,teary,N/A,N/A,tuft blue,spotted fur hat,N/A,N/A,1024,clay,jesus tank
1026,clouds,hypebeast,normal,17,N/A,green,sparkle,N/A,N/A,og orange,N/A,N/A,N/A,1026,pale,meedles tracksuit
1028,sunset,harajuku-gyaru,normal,24,N/A,blue,heart eyes,N/A,N/A,braid black,bear ears,castle neck tattoo,N/A,1028,pale,blue ribbon tank
103,roadside,hypebeast-gyaru,normal,25,strawberry earring,green,sparkle,N/A,N/A,bowl blue,trucker anime,N/A,N/A,103,pale,red puffer
1031,streets,prep,normal,22,N/A,lilac,classic,N/A,N/A,short orange,N/A,N/A,pearl necklace,1031,pale,blue sweatervest
1033,bushland,gyaru,s-drip,40,N/A,blue,classic,nose ring silver,sunglasses,og orange,N/A,N/A,N/A,1033,alien,mwo shirt
1035,sunset,gyaru,a-drip,35,heart pearls earring,gold,classic,N/A,round glasses,bowl black,flower clip,N/A,N/A,1035,clay,jesus tank
1037,casino,prep-gyaru,c-drip,27,N/A,brown,teary,temple cross tattoo,prescription glasses,bowl black,denim fish cap,N/A,N/A,1037,clay,bear sweater
1039,sunrise,hypebeast-harajuku,a-drip,35,N/A,blue,sparkle,N/A,prescription glasses,short orange,meedles headband,N/A,N/A,1039,pale,heihei shirt
1040,sunset,prep-harajuku,a-drip,35,N/A,aqua,sleepy,N/A,sunglasses,N/A,strawberry hat,N/A,N/A,1040,pink,fuzzy coat
